ID,PARTIDO.ID,CATEGORIA,TERRITORIO.ID,REGION.ID,SEXO,EDAD MIN,EDAD MAX
0,2,NUEVO,258,13,M,20,24
1,2,NUEVO,485,,F,50,54
2,2,NUEVO,480,13,M,60,64
3,2,NUEVO,88,15,M,65,69
4,2,NUEVO,88,15,F,25,29
5,2,NUEVO,88,15,M,40,44
6,2,NUEVO,370,15,M,50,54
7,2,NUEVO,88,15,M,45,49
8,2,NUEVO,88,15,F,35,39
9,2,NUEVO,88,15,M,35,39
10,2,NUEVO,386,6,F,50,54
11,2,NUEVO,273,6,M,45,49
12,2,NUEVO,386,6,M,45,49
13,2,NUEVO,414,6,M,55,59
14,2,NUEVO,386,6,M,40,44
15,2,NUEVO,273,6,M,35,39
16,22,NUEVO,226,13,M,70,74
17,22,NUEVO,226,13,F,65,69
18,22,NUEVO,236,13,F,20,24
19,22,NUEVO,318,13,M,50,54
20,22,NUEVO,226,13,M,55,59
21,22,NUEVO,444,13,M,60,64
22,22,NUEVO,444,13,M,40,44
23,22,NUEVO,444,13,F,65,69
24,22,NUEVO,444,13,F,20,24
25,22,NUEVO,160,4,F,45,49
26,22,NUEVO,236,13,F,35,39
27,22,NUEVO,160,4,M,35,39
28,22,NUEVO,210,15,F,45,49
29,22,NUEVO,370,15,M,35,39
30,22,NUEVO,88,15,F,40,44
31,22,NUEVO,370,15,M,50,54
32,22,NUEVO,88,15,F,60,64
33,22,NUEVO,88,15,M,50,54
34,22,NUEVO,88,15,F,50,54
35,22,NUEVO,88,15,F,55,59
36,22,NUEVO,370,15,F,40,44
37,22,NUEVO,88,15,F,45,49
38,22,NUEVO,88,15,F,30,34
39,22,NUEVO,380,5,M,50,54
40,22,NUEVO,88,15,F,75,79
41,22,NUEVO,166,9,F,65,69
42,22,NUEVO,159,3,M,45,49
43,22,NUEVO,160,4,F,55,59
44,47,NUEVO,210,15,F,45,49
45,47,NUEVO,88,15,F,20,24
46,47,NUEVO,88,15,M,60,64
47,47,NUEVO,88,15,F,70,74
48,47,NUEVO,88,15,M,40,44
49,47,NUEVO,106,15,M,40,44
50,47,NUEVO,88,15,F,80,
51,47,NUEVO,106,15,M,20,24
52,47,NUEVO,88,15,F,30,34
53,47,NUEVO,88,15,M,30,34
54,47,NUEVO,88,15,F,45,49
55,47,NUEVO,88,15,M,65,69
56,6,NUEVO,469,5,M,20,24
57,6,NUEVO,147,13,F,30,34
58,6,NUEVO,233,13,M,30,34
59,6,NUEVO,479,5,M,30,34
60,6,NUEVO,469,5,F,45,49
61,6,NUEVO,380,5,M,65,69
62,6,NUEVO,123,10,F,25,29
63,11,NUEVO,146,1,M,50,54
64,11,NUEVO,225,1,F,25,29
65,11,NUEVO,79,1,F,20,24
66,11,NUEVO,225,1,F,30,34
67,11,NUEVO,79,1,F,25,29
68,11,NUEVO,225,1,M,40,44
69,11,NUEVO,353,1,F,20,24
70,11,NUEVO,225,1,F,60,64
71,11,NUEVO,225,1,F,75,79
72,11,NUEVO,79,1,M,30,34
73,11,NUEVO,225,1,F,45,49
74,11,NUEVO,225,1,F,20,24
75,11,NUEVO,225,1,M,25,29
76,11,NUEVO,225,1,M,20,24
77,11,NUEVO,79,1,M,20,24
78,6,NUEVO,123,10,F,30,34
79,6,NUEVO,190,6,M,70,74
80,6,NUEVO,233,13,M,45,49
81,6,NUEVO,479,5,M,20,24
82,6,NUEVO,159,3,M,70,74
83,6,NUEVO,123,10,F,55,59
84,6,NUEVO,469,5,M,45,49
85,6,NUEVO,233,13,F,30,34
86,6,NUEVO,102,3,M,75,79
87,6,NUEVO,356,5,M,35,39
88,6,NUEVO,149,6,F,40,44
89,6,NUEVO,103,5,M,30,34
90,11,NUEVO,79,1,M,25,29
91,11,NUEVO,225,1,M,30,34
92,11,NUEVO,353,1,F,25,29
93,11,NUEVO,225,1,M,35,39
94,11,NUEVO,380,5,F,20,24
95,11,NUEVO,353,1,M,20,24
96,11,NUEVO,88,15,F,25,29
97,11,NUEVO,88,15,F,40,44
98,6,NUEVO,82,9,F,30,34
99,6,NUEVO,467,14,M,35,39
100,6,NUEVO,385,16,M,35,39
101,6,NUEVO,124,3,M,70,74
102,6,NUEVO,93,16,F,70,74
103,6,NUEVO,426,8,F,70,74
104,47,NUEVO,225,1,M,60,64
105,47,NUEVO,79,1,M,25,29
106,47,NUEVO,225,1,M,65,69
107,47,NUEVO,225,1,M,25,29
108,47,NUEVO,479,5,M,20,24
109,47,NUEVO,79,1,F,25,29
110,6,NUEVO,409,16,M,70,74
111,6,NUEVO,385,16,F,80,
112,6,NUEVO,124,3,F,65,69
113,6,NUEVO,127,8,F,65,69
114,6,NUEVO,409,16,M,50,54
115,6,NUEVO,121,13,F,25,29
116,6,NUEVO,347,16,M,25,29
117,6,NUEVO,129,16,F,25,29
118,6,NUEVO,129,16,F,20,24
119,6,NUEVO,93,16,M,20,24
120,6,NUEVO,93,16,M,25,29
121,6,NUEVO,151,8,M,20,24
122,6,NUEVO,124,3,M,25,29
123,6,NUEVO,189,3,M,20,24
124,6,NUEVO,127,8,F,20,24
125,6,NUEVO,142,16,M,25,29
126,6,NUEVO,462,9,F,25,29
127,6,NUEVO,456,8,F,20,24
128,6,NUEVO,335,16,F,25,29
129,6,NUEVO,335,16,F,20,24
130,6,NUEVO,93,16,M,40,44
131,6,NUEVO,385,16,F,40,44
132,6,NUEVO,462,9,M,60,64
133,6,NUEVO,200,13,M,35,39
134,6,NUEVO,124,3,F,35,39
135,6,NUEVO,462,9,F,70,74
136,6,NUEVO,129,16,F,30,34
137,6,NUEVO,189,3,F,25,29
138,6,NUEVO,87,8,M,50,54
139,6,NUEVO,93,16,F,25,29
140,6,NUEVO,462,9,F,50,54
141,6,NUEVO,129,16,M,50,54
142,6,NUEVO,385,16,F,50,54
143,6,NUEVO,385,16,M,50,54
144,47,NUEVO,225,1,M,30,34
145,47,NUEVO,225,1,M,40,44
146,47,NUEVO,469,5,M,50,54
147,47,NUEVO,225,1,F,20,24
148,47,NUEVO,225,1,M,45,49
149,6,NUEVO,446,8,F,40,44
150,6,NUEVO,93,16,M,45,49
151,6,NUEVO,129,16,F,40,44
152,6,NUEVO,422,16,M,40,44
153,22,NUEVO,126,6,M,45,49
154,22,NUEVO,479,5,M,55,59
155,22,NUEVO,130,16,M,45,49
156,2,NUEVO,359,13,M,50,54
157,2,NUEVO,247,13,M,45,49
158,2,NUEVO,480,13,M,30,34
159,2,NUEVO,257,13,F,35,39
160,2,NUEVO,371,10,F,20,24
161,2,NUEVO,247,13,M,35,39
162,2,NUEVO,359,13,F,40,44
163,2,NUEVO,359,13,M,40,44
164,2,NUEVO,257,13,F,45,49
165,2,NUEVO,147,13,M,50,54
166,10,NUEVO,225,1,F,25,29
167,10,NUEVO,79,1,F,20,24
168,10,NUEVO,225,1,F,20,24
169,11,NUEVO,469,5,F,20,24
170,11,NUEVO,77,8,F,20,24
171,11,NUEVO,86,8,F,20,24
172,11,NUEVO,87,8,F,20,24
173,11,NUEVO,127,8,F,20,24
174,11,NUEVO,151,8,F,20,24
175,11,NUEVO,162,8,F,20,24
176,11,NUEVO,217,8,F,20,24
177,11,NUEVO,266,8,F,20,24
178,11,NUEVO,299,8,F,20,24
179,11,NUEVO,339,8,F,20,24
180,11,NUEVO,426,8,F,20,24
181,11,NUEVO,431,8,F,20,24
182,11,NUEVO,446,8,F,20,24
183,11,NUEVO,254,6,F,20,24
184,11,NUEVO,345,6,F,20,24
185,11,NUEVO,393,6,F,20,24
186,11,NUEVO,394,6,F,20,24
187,11,NUEVO,414,6,F,20,24
188,11,NUEVO,430,6,F,20,24
189,11,NUEVO,157,7,F,20,24
190,11,NUEVO,289,7,F,20,24
191,11,NUEVO,92,13,F,20,24
192,11,NUEVO,120,13,F,20,24
193,11,NUEVO,121,13,F,20,24
194,11,NUEVO,147,13,F,20,24
195,11,NUEVO,155,13,F,20,24
196,11,NUEVO,191,13,F,20,24
197,11,NUEVO,200,13,F,20,24
198,11,NUEVO,221,13,F,20,24
199,11,NUEVO,223,13,F,20,24
200,11,NUEVO,226,13,F,20,24
201,11,NUEVO,229,13,F,20,24
202,11,NUEVO,232,13,F,20,24
203,11,NUEVO,233,13,F,20,24
204,11,NUEVO,236,13,F,20,24
205,11,NUEVO,237,13,F,20,24
206,11,NUEVO,244,13,F,20,24
207,11,NUEVO,247,13,F,20,24
208,11,NUEVO,257,13,F,20,24
209,11,NUEVO,258,13,F,20,24
210,11,NUEVO,259,13,F,20,24
211,13,NUEVO,247,13,F,80,
212,13,NUEVO,257,13,F,80,
213,13,NUEVO,258,13,F,80,
214,13,NUEVO,259,13,F,80,
215,13,NUEVO,274,13,F,80,
216,13,NUEVO,278,13,F,80,
217,13,NUEVO,287,13,F,80,
218,13,NUEVO,293,13,F,80,
219,13,NUEVO,318,13,F,80,
220,13,NUEVO,323,13,F,80,
221,13,NUEVO,332,13,F,80,
222,13,NUEVO,336,13,F,80,
223,13,NUEVO,337,13,F,80,
224,13,NUEVO,348,13,F,80,
225,13,NUEVO,355,13,F,80,
226,8,NUEVO,393,6,F,20,24
227,8,NUEVO,394,6,F,20,24
228,8,NUEVO,117,7,F,20,24
229,8,NUEVO,144,7,F,20,24
230,8,NUEVO,253,7,F,20,24
231,8,NUEVO,289,7,F,20,24
232,8,NUEVO,395,7,F,20,24
233,8,NUEVO,398,7,F,20,24
234,8,NUEVO,405,7,F,20,24
235,8,NUEVO,410,7,F,20,24
236,8,NUEVO,417,7,F,20,24
237,8,NUEVO,445,7,F,20,24
238,8,NUEVO,92,13,F,20,24
239,8,NUEVO,104,13,F,20,24
240,8,NUEVO,147,13,F,20,24
241,8,NUEVO,155,13,F,20,24
242,8,NUEVO,191,13,F,20,24
243,8,NUEVO,221,13,F,20,24
244,8,NUEVO,232,13,F,20,24
245,8,NUEVO,233,13,F,20,24
246,8,NUEVO,236,13,F,20,24
247,8,NUEVO,237,13,F,20,24
248,8,NUEVO,244,13,F,20,24
249,8,NUEVO,247,13,F,20,24
250,8,NUEVO,257,13,F,20,24
251,8,NUEVO,258,13,F,20,24
252,8,NUEVO,259,13,F,20,24
253,8,NUEVO,274,13,F,20,24
254,8,NUEVO,278,13,F,20,24
255,8,NUEVO,293,13,F,20,24
256,8,NUEVO,318,13,F,20,24
257,8,NUEVO,332,13,F,20,24
258,8,NUEVO,337,13,F,20,24
259,8,NUEVO,348,13,F,20,24
260,8,NUEVO,355,13,F,20,24
261,8,NUEVO,358,13,F,20,24
262,8,NUEVO,359,13,F,20,24
263,8,NUEVO,376,13,F,20,24
264,8,NUEVO,383,13,F,20,24
265,8,NUEVO,390,13,F,20,24
266,8,NUEVO,408,13,F,20,24
267,8,NUEVO,421,13,F,20,24
268,8,NUEVO,428,13,F,20,24
269,8,NUEVO,480,13,F,20,24
270,8,NUEVO,310,13,F,20,24
271,48,NUEVO,88,15,F,20,24
272,48,NUEVO,100,2,F,20,24
273,48,NUEVO,160,4,F,20,24
274,48,NUEVO,238,4,F,20,24
275,48,NUEVO,111,9,F,20,24
276,48,NUEVO,248,9,F,20,24
277,48,NUEVO,309,9,F,20,24
278,48,NUEVO,391,9,F,20,24
279,48,NUEVO,449,9,F,20,24
280,48,NUEVO,462,9,F,20,24
281,48,NUEVO,473,9,F,20,24
282,48,NUEVO,478,9,F,20,24
283,48,NUEVO,360,10,F,20,24
284,48,NUEVO,207,14,F,20,24
285,48,NUEVO,467,14,F,20,24
286,48,NUEVO,79,1,F,20,24
287,48,NUEVO,225,1,F,20,24
288,48,NUEVO,255,5,F,20,24
289,48,NUEVO,130,16,F,20,24
290,48,NUEVO,483,16,F,20,24
291,48,NUEVO,151,8,F,20,24
292,48,NUEVO,266,8,F,20,24
293,48,NUEVO,140,6,F,20,24
294,48,NUEVO,301,6,F,20,24
295,48,NUEVO,325,6,F,20,24
296,48,NUEVO,343,6,F,20,24
297,48,NUEVO,117,7,F,20,24
298,48,NUEVO,172,7,F,20,24
299,48,NUEVO,253,7,F,20,24
300,48,NUEVO,331,7,F,20,24
301,48,NUEVO,334,7,F,20,24
302,48,NUEVO,389,7,F,20,24
303,48,NUEVO,147,13,F,20,24
304,48,NUEVO,191,13,F,20,24
305,48,NUEVO,223,13,F,20,24
306,48,NUEVO,247,13,F,20,24
307,48,NUEVO,257,13,F,20,24
308,48,NUEVO,293,13,F,20,24
309,48,NUEVO,336,13,F,20,24
310,47,NUEVO,85,2,F,20,24
