ID,PARTIDO_ID,Monto,Fecha de Pago,Trimestre
0,4,248112449,2016-05-09 00:00:00,PRIMER APORTE
1,19,273623453,2016-06-24 00:00:00,PRIMER APORTE
2,12,324176809,2016-05-19 00:00:00,PRIMER APORTE
3,20,202470445,2016-05-09 00:00:00,PRIMER APORTE
4,21,203965625,2016-05-09 00:00:00,PRIMER APORTE
5,22,93693504,2016-06-15 00:00:00,PRIMER APORTE
6,23,86112849,2016-09-30 00:00:00,PRIMER APORTE
7,24,25321162,2016-05-30 00:00:00,PRIMER APORTE
8,25,28938471,2016-05-30 00:00:00,PRIMER APORTE
9,17,14276712,2016-08-29 00:00:00,PRIMER APORTE
10,9,5425963,2016-07-13 00:00:00,PRIMER APORTE
11,26,5425963,2016-06-24 00:00:00,PRIMER APORTE
12,27,16277890,2016-09-30 00:00:00,PRIMER APORTE
13,28,14469235,2016-09-30 00:00:00,PRIMER APORTE
14,4,244242394,2016-06-24 00:00:00,SEGUNDO APORTE
15,19,269505407,2016-06-30 00:00:00,SEGUNDO APORTE
16,12,319567334,2016-06-30 00:00:00,SEGUNDO APORTE
17,20,199044075,2016-06-30 00:00:00,SEGUNDO APORTE
18,21,200524720,2016-06-16 00:00:00,SEGUNDO APORTE
19,22,91324552,2016-06-30 00:00:00,SEGUNDO APORTE
20,23,83817588,2016-10-14 00:00:00,SEGUNDO APORTE
21,24,23799125,2016-07-13 00:00:00,SEGUNDO APORTE
22,25,27199000,2016-06-16 00:00:00,SEGUNDO APORTE
23,17,13499983,2016-09-05 00:00:00,SEGUNDO APORTE
24,9,5099812,2016-07-13 00:00:00,SEGUNDO APORTE
25,29,5207930,2016-07-29 00:00:00,SEGUNDO APORTE
26,26,11899562,2016-06-30 00:00:00,SEGUNDO APORTE
27,30,5099812,2016-08-09 00:00:00,SEGUNDO APORTE
28,13,1699937,2016-07-13 00:00:00,SEGUNDO APORTE
29,31,10288278,2016-07-29 00:00:00,SEGUNDO APORTE
30,32,1699937,2016-12-29 00:00:00,SEGUNDO APORTE
31,27,15299437,2016-11-06 00:00:00,SEGUNDO APORTE
32,28,13599500,2016-11-06 00:00:00,SEGUNDO APORTE
33,4,233227021,2016-08-30 00:00:00,TERCER APORTE
34,19,256266008,2016-08-30 00:00:00,TERCER APORTE
35,12,307447804,2016-08-30 00:00:00,TERCER APORTE
36,20,181753303,2016-08-30 00:00:00,TERCER APORTE
37,21,193361167,2016-09-28 00:00:00,TERCER APORTE
38,22,85232047,2016-12-01 00:00:00,TERCER APORTE
39,23,77798711,2016-10-24 00:00:00,TERCER APORTE
40,24,19018515,2016-10-24 00:00:00,TERCER APORTE
41,25,21735445,2016-08-30 00:00:00,TERCER APORTE
42,17,11093980,2016-09-28 00:00:00,TERCER APORTE
43,9,4075396,2017-01-17 00:00:00,TERCER APORTE
44,29,6217873,2016-09-23 00:00:00,TERCER APORTE
45,26,12226188,2016-11-21 00:00:00,TERCER APORTE
46,18,21735445,2016-09-08 00:00:00,TERCER APORTE
47,30,4075396,2016-09-15 00:00:00,TERCER APORTE
48,33,8150792,2016-11-21 00:00:00,TERCER APORTE
49,13,12226188,2016-09-08 00:00:00,TERCER APORTE
50,31,9929544,2016-09-28 00:00:00,TERCER APORTE
51,32,1358465,2017-01-17 00:00:00,TERCER APORTE
52,15,18961486,2016-12-01 00:00:00,TERCER APORTE
53,16,1358465,2017-01-19 00:00:00,TERCER APORTE
54,34,1358465,2016-10-17 00:00:00,TERCER APORTE
55,35,1358465,2017-02-01 00:00:00,TERCER APORTE
56,36,1358465,2016-12-01 00:00:00,TERCER APORTE
57,27,12226188,2016-11-24 00:00:00,TERCER APORTE
58,37,2716931,2016-12-05 00:00:00,TERCER APORTE
59,28,10867723,2016-11-24 00:00:00,TERCER APORTE
60,4,229690541,2016-11-04 00:00:00,CUARTO APORTE
61,19,255148864,2017-01-17 00:00:00,CUARTO APORTE
62,12,303848075,2016-12-02 00:00:00,CUARTO APORTE
63,20,180540306,2016-12-09 00:00:00,CUARTO APORTE
64,21,192162818,2016-12-09 00:00:00,CUARTO APORTE
65,22,83894393,2017-01-10 00:00:00,CUARTO APORTE
66,23,76451481,2017-01-17 00:00:00,CUARTO APORTE
67,24,17776489,2016-12-09 00:00:00,CUARTO APORTE
68,25,20315988,2016-12-09 00:00:00,CUARTO APORTE
69,17,8888245,2016-12-09 00:00:00,CUARTO APORTE
70,9,3809248,2017-03-23 00:00:00,CUARTO APORTE
71,29,7314594,2017-01-17 00:00:00,CUARTO APORTE
72,26,16506740,2017-01-10 00:00:00,CUARTO APORTE
73,18,20315988,2016-12-24 00:00:00,CUARTO APORTE
74,30,3809248,2017-02-28 00:00:00,CUARTO APORTE
75,33,7618495,2017-03-23 00:00:00,CUARTO APORTE
76,13,12697492,2017-01-03 00:00:00,CUARTO APORTE
77,31,9851611,2017-01-27 00:00:00,CUARTO APORTE
78,32,1269749,2017-01-27 00:00:00,CUARTO APORTE
79,15,18623641,2017-01-27 00:00:00,CUARTO APORTE
80,16,3809248,2017-01-27 00:00:00,CUARTO APORTE
81,34,2539498,2017-01-17 00:00:00,CUARTO APORTE
82,35,1269749,2017-04-13 00:00:00,CUARTO APORTE
83,38,1269749,2017-04-13 00:00:00,CUARTO APORTE
84,36,1269749,2017-01-10 00:00:00,CUARTO APORTE
85,11,1269749,2017-09-26 00:00:00,CUARTO APORTE
86,27,11427743,2017-01-27 00:00:00,CUARTO APORTE
87,37,5078997,2017-01-10 00:00:00,CUARTO APORTE
88,28,10157994,2017-03-01 00:00:00,CUARTO APORTE
89,4,235357203,2017-03-01 00:00:00,PRIMER APORTE
90,19,261478116,2017-04-10 00:00:00,PRIMER APORTE
91,12,311444798,2017-02-24 00:00:00,PRIMER APORTE
92,20,184927760,2017-03-20 00:00:00,PRIMER APORTE
93,21,196852765,2017-03-01 00:00:00,PRIMER APORTE
94,22,85766492,2017-03-01 00:00:00,PRIMER APORTE
95,23,78129867,2017-03-01 00:00:00,PRIMER APORTE
96,24,17966693,2017-04-10 00:00:00,PRIMER APORTE
97,25,20533364,2017-03-01 00:00:00,PRIMER APORTE
98,17,8983347,2017-05-31 00:00:00,PRIMER APORTE
99,9,3850006,2017-07-05 00:00:00,PRIMER APORTE
100,29,7446584,2017-03-01 00:00:00,PRIMER APORTE
101,26,16683358,2017-03-20 00:00:00,PRIMER APORTE
102,18,20533364,2017-03-01 00:00:00,PRIMER APORTE
103,30,3850006,2017-04-10 00:00:00,PRIMER APORTE
104,33,7700011,2017-04-11 00:00:00,PRIMER APORTE
105,13,12833352,2017-04-24 00:00:00,PRIMER APORTE
106,31,1283335,2017-04-10 00:00:00,PRIMER APORTE
107,15,19030505,2017-03-20 00:00:00,PRIMER APORTE
108,16,3850006,2017-04-10 00:00:00,PRIMER APORTE
109,34,2566670,2017-05-08 00:00:00,PRIMER APORTE
110,36,1283335,2017-04-13 00:00:00,PRIMER APORTE
111,11,3850006,2017-10-24 00:00:00,PRIMER APORTE
112,27,11550017,2017-05-22 00:00:00,PRIMER APORTE
113,37,5133341,2017-03-01 00:00:00,PRIMER APORTE
114,28,10266682,2017-03-16 00:00:00,PRIMER APORTE
115,4,235110802,2017-04-26 00:00:00,SEGUNDO APORTE
116,19,261231716,2017-04-26 00:00:00,SEGUNDO APORTE
117,12,311198398,2017-04-24 00:00:00,SEGUNDO APORTE
118,20,184681359,2017-04-24 00:00:00,SEGUNDO APORTE
119,21,196606365,2017-05-02 00:00:00,SEGUNDO APORTE
120,22,85520092,2017-04-26 00:00:00,SEGUNDO APORTE
121,23,77883467,2017-05-22 00:00:00,SEGUNDO APORTE
122,24,17751093,2017-06-16 00:00:00,SEGUNDO APORTE
123,25,20286963,2017-05-10 00:00:00,SEGUNDO APORTE
124,17,8875546,2017-06-16 00:00:00,SEGUNDO APORTE
125,9,3803806,2017-09-13 00:00:00,SEGUNDO APORTE
126,29,7400384,2017-06-16 00:00:00,SEGUNDO APORTE
127,26,16483158,2017-05-02 00:00:00,SEGUNDO APORTE
128,18,20286963,2017-05-10 00:00:00,SEGUNDO APORTE
129,33,8875546,2017-09-13 00:00:00,SEGUNDO APORTE
130,13,12679352,2017-06-16 00:00:00,SEGUNDO APORTE
131,15,18968905,2017-05-10 00:00:00,SEGUNDO APORTE
132,16,5071741,2017-05-02 00:00:00,SEGUNDO APORTE
133,34,3803806,2017-06-16 00:00:00,SEGUNDO APORTE
134,7,10177908,2017-11-10 00:00:00,SEGUNDO APORTE
135,11,3803806,2017-11-10 00:00:00,SEGUNDO APORTE
136,27,11411417,2017-06-16 00:00:00,SEGUNDO APORTE
137,37,5071741,2017-05-18 00:00:00,SEGUNDO APORTE
138,28,10143482,2017-05-02 00:00:00,SEGUNDO APORTE
139,4,232764722,2017-08-24 00:00:00,TERCER APORTE
140,19,260521602,2017-08-28 00:00:00,TERCER APORTE
141,12,310568894,2017-08-24 00:00:00,TERCER APORTE
142,20,184240280,2017-08-28 00:00:00,TERCER APORTE
143,21,196113218,2017-08-21 00:00:00,TERCER APORTE
144,22,85362637,2017-08-09 00:00:00,TERCER APORTE
145,23,77753982,2017-08-28 00:00:00,TERCER APORTE
146,24,16549355,2017-09-27 00:00:00,TERCER APORTE
147,25,20368437,2017-10-19 00:00:00,TERCER APORTE
148,9,3819082,2018-01-11 00:00:00,TERCER APORTE
149,29,8648046,2017-12-22 00:00:00,TERCER APORTE
150,26,16549355,2018-01-15 00:00:00,TERCER APORTE
151,18,20368437,2017-09-04 00:00:00,TERCER APORTE
152,33,8911191,2017-11-17 00:00:00,TERCER APORTE
153,13,8911191,2017-09-27 00:00:00,TERCER APORTE
154,15,20105260,2017-10-03 00:00:00,TERCER APORTE
155,16,5092109,2017-08-09 00:00:00,TERCER APORTE
156,34,3819082,2017-09-06 00:00:00,TERCER APORTE
157,7,15070853,2017-11-15 00:00:00,TERCER APORTE
158,11,10184218,2017-11-15 00:00:00,TERCER APORTE
159,27,8911191,2017-08-09 00:00:00,TERCER APORTE
160,37,6365137,2017-09-06 00:00:00,TERCER APORTE
161,28,0,,TERCER APORTE
162,4,231462980,2017-11-30 00:00:00,CUARTO APORTE
163,19,257469753,2017-10-31 00:00:00,CUARTO APORTE
164,12,309267151,2017-11-16 00:00:00,CUARTO APORTE
165,20,181609494,2017-10-30 00:00:00,CUARTO APORTE
166,21,196727224,2017-11-23 00:00:00,CUARTO APORTE
167,22,83564950,2017-11-30 00:00:00,CUARTO APORTE
168,23,76014354,2017-11-13 00:00:00,CUARTO APORTE
169,24,15491690,2017-11-23 00:00:00,CUARTO APORTE
170,25,19066695,2017-12-11 00:00:00,CUARTO APORTE
171,9,4766674,2018-01-11 00:00:00,CUARTO APORTE
172,29,8322610,2018-01-11 00:00:00,CUARTO APORTE
173,26,19066695,2018-02-12 00:00:00,CUARTO APORTE
174,18,19066695,2017-11-23 00:00:00,CUARTO APORTE
175,33,8341679,2018-01-21 00:00:00,CUARTO APORTE
176,13,9533347,2017-12-15 00:00:00,CUARTO APORTE
177,15,24465139,2017-11-14 00:00:00,CUARTO APORTE
178,16,4766674,2017-11-08 00:00:00,CUARTO APORTE
179,34,3575005,2017-11-30 00:00:00,CUARTO APORTE
180,7,14664059,2017-12-16 00:00:00,CUARTO APORTE
181,11,9533347,2017-12-29 00:00:00,CUARTO APORTE
182,39,5958342,2018-08-20 00:00:00,CUARTO APORTE
183,27,9533347,2017-11-14 00:00:00,CUARTO APORTE
184,37,8341679,2017-10-30 00:00:00,CUARTO APORTE
185,28,0,,CUARTO APORTE
186,4,235314552,2018-02-01 00:00:00,PRIMER APORTE
