ID,CARGO,REGION.ID,TERRITORIO.ID,CANDIDATO.ID,ANO,PARTIDO.ID
0,CONCEJALES,5,105,3032,2021,38
1,CONCEJALES,13,287,12233,2021,1
2,CONCEJALES,1,344,1607,2021,8
3,CONCEJALES,8,127,7049,2021,13
4,CONVENCIONALES CONSTITUYENTES,6,20,15448,2021,38
5,CONVENCIONALES CONSTITUYENTES,5,71,15391,2021,38
6,CONCEJALES,9,166,8379,2021,4
7,CONSEJEROS REGIONALES,6,98,17364,2013,38
8,CONCEJALES,8,162,7227,2021,6
9,CONCEJALES,12,95,10461,2021,38
10,CONCEJALES,13,358,12903,2021,38
11,CONSEJEROS REGIONALES,2,85,17050,2013,38
12,CONCEJALES,16,129,14496,2021,48
13,CONCEJALES,9,341,8835,2021,38
14,CONCEJALES,9,478,9278,2021,38
15,CONSEJEROS REGIONALES,4,252,17224,2013,37
16,CONSEJEROS REGIONALES,12,276,17761,2013,13
17,CONCEJALES,8,426,7848,2021,38
18,CONCEJALES,7,331,6291,2021,3
19,CONVENCIONALES CONSTITUYENTES,13,72,16166,2021,38
20,CONCEJALES,5,255,3502,2021,38
21,CONCEJALES,15,88,14319,2021,38
22,CONCEJALES,7,250,6075,2021,0
23,CONCEJALES,6,432,5731,2021,1
24,DIPUTADOS,3,47,18230,2017,13
25,CONCEJALES,8,87,6935,2021,38
26,CONSEJEROS REGIONALES,13,440,11548,2013,0
27,CONCEJALES,13,191,11101,2021,13
28,CONCEJALES,5,251,3465,2021,1
29,CONCEJALES,7,405,6534,2021,38
30,DIPUTADOS,11,33,18517,2017,38
31,DIPUTADOS,14,62,16945,2013,8
32,CONCEJALES,14,288,14062,2021,38
33,ALCALDES,3,452,99,2021,38
34,CONCEJALES,8,377,7777,2021,38
35,CONCEJALES,13,332,12522,2021,38
36,CONCEJALES,13,92,10702,2021,35
37,CONCEJALES,8,271,7625,2021,22
38,ALCALDES,7,198,524,2021,38
39,ALCALDES,10,401,972,2021,8
40,CONSEJEROS REGIONALES,8,152,15630,2013,38
41,CONSEJEROS REGIONALES,8,154,17566,2013,38
42,GOBERNADOR REGIONAL,1,184,16401,2021,47
43,CONCEJALES,9,478,9301,2021,38
44,CONCEJALES,6,382,5417,2021,38
45,CONVENCIONALES CONSTITUYENTES,13,73,16236,2021,38
46,DIPUTADOS,7,43,16676,2013,7
