ID DOCUMENTO,TIPO_DOCUMENTO_ID,GLOSA DOCUMENTO
7734,0,PROPIO
18205,0,PROPIO
19707,0,PROPIO
20723,0,PUBLICO
20740,0,PROPIO
21244,0,PROPIO
22253,0,PUBLICO
22294,0,PUBLICO
22297,0,PUBLICO
22302,0,PROPIO
22317,0,PUBLICO
22898,0,PUBLICO
22899,0,PUBLICO
22905,0,PUBLICO
103,0,VEHICULOS PROPIOS ADJUNTA ARCHIVOS
25,0,DIFUSION RADIAL RADIO FAVORITA PENDIENTE DE PAGO
16716,0,DIFUSION RADIAL RADIO COOPERATIVA
42267,0,DIFUSION RADIAL RADIO BIOBIO
42266,0,DIFUSION RADIAL RADIO BIOBIO
1,1,BRIGADISTA VOLUNTARIO
1,15,BRIGADISTA VOLUNTARIO
3,1,BRIGADISTA VOLUNTARIO
3,15,BRIGADISTA VOLUNTARIO
4,1,BRIGADISTA VOLUNTARIO
4,15,BRIGADISTA VOLUNTARIO
6,1,BRIGADISTA VOLUNTARIO
6,15,BRIGADISTA VOLUNTARIO
8,1,BRIGADISTA VOLUNTARIO
8,15,BRIGADISTA VOLUNTARIO
9,1,BRIGADISTA VOLUNTARIO
9,15,BRIGADISTA VOLUNTARIO
10,1,BRIGADISTA VOLUNTARIO
10,15,BRIGADISTA VOLUNTARIO
11,1,BRIGADISTA VOLUNTARIO
11,15,BRIGADISTA VOLUNTARIO
13,1,BRIGADISTA VOLUNTARIO
13,15,BRIGADISTA VOLUNTARIO
14,1,BRIGADISTA VOLUNTARIO
14,15,BRIGADISTA VOLUNTARIO
15,1,BRIGADISTA VOLUNTARIO
15,15,BRIGADISTA VOLUNTARIO
16,1,BRIGADISTA VOLUNTARIO
16,15,BRIGADISTA VOLUNTARIO
18,1,BRIGADISTA VOLUNTARIO
18,15,BRIGADISTA VOLUNTARIO
19,1,BRIGADISTA VOLUNTARIO
19,15,BRIGADISTA VOLUNTARIO
5,1,BRIGADISTA VOLUNTARIO
5,15,BRIGADISTA VOLUNTARIO
7,1,BRIGADISTA VOLUNTARIO
7,15,BRIGADISTA VOLUNTARIO
2,1,BRIGADISTA VOLUNTARIO
2,15,BRIGADISTA VOLUNTARIO
12,1,BRIGADISTA VOLUNTARIO
12,15,BRIGADISTA VOLUNTARIO
17,1,BRIGADISTA VOLUNTARIO
17,15,BRIGADISTA VOLUNTARIO
103,0,APORTE VEHICULO
900,0,PUBLICO
917,0,PUBLICO
919,0,PUBLICO
921,0,PUBLICO
1119,0,PUBLICO
1174,0,PUBLICO
1186,0,PUBLICO
1223,0,PUBLICO
1823,0,PUBLICO
2007,0,PUBLICO
2320,0,PUBLICO
2490,0,PUBLICO
2520,0,PUBLICO
2624,0,PUBLICO
2668,0,CREDITO CONTRA REEMBOLSO
2681,0,PUBLICO
2716,0,PUBLICO
2750,0,PUBLICO
2794,0,PUBLICO
3078,0,PUBLICO
3290,0,PUBLICO
3499,0,PUBLICO
3580,0,PUBLICO
3636,0,PUBLICO
3894,0,PUBLICO
3930,0,PUBLICO
3936,0,PUBLICO
4081,0,PUBLICO
4218,0,PUBLICO
4272,0,PUBLICO
4362,0,PUBLICO
4380,0,PUBLICO
4569,0,PUBLICO
4636,0,PUBLICO
4643,0,PUBLICO
4672,0,PUBLICO
4710,0,PUBLICO
4717,0,PUBLICO
4736,0,PUBLICO
4818,0,PUBLICO
4821,0,PUBLICO
4825,0,PUBLICO
4829,0,PUBLICO
4836,0,PUBLICO
4838,0,PUBLICO
4861,0,PUBLICO
4869,0,PUBLICO
4885,0,PUBLICO
4981,0,PUBLICO
5031,0,PUBLICO
5088,0,PUBLICO
5142,0,PUBLICO
5181,0,PUBLICO
5183,0,PUBLICO
5242,0,PUBLICO
5586,0,PUBLICO
5615,0,PUBLICO
6383,0,PUBLICO
6791,0,PUBLICO
7293,0,PUBLICO
7381,0,PUBLICO
7442,0,PUBLICO
7501,0,PUBLICO
8035,0,PUBLICO
8553,0,PUBLICO
8990,0,PUBLICO
9836,0,PUBLICO
9842,0,PUBLICO
9843,0,PUBLICO
9844,0,PUBLICO
9850,0,PUBLICO
9857,0,PUBLICO
9880,0,PUBLICO
9883,0,PUBLICO
9893,0,PUBLICO
9896,0,PUBLICO
9915,0,PUBLICO
9922,0,PUBLICO
9931,0,PUBLICO
9934,0,PUBLICO
9941,0,PUBLICO
9968,0,PUBLICO
9970,0,PUBLICO
10004,0,PUBLICO
10014,0,PUBLICO
10017,0,PUBLICO
10020,0,PUBLICO
10035,0,PUBLICO
10038,0,PUBLICO
10089,0,PUBLICO
10090,0,PUBLICO
10410,0,PUBLICO
10439,0,PUBLICO
10546,0,PUBLICO
10569,0,PUBLICO
10909,0,PUBLICO
10950,0,PUBLICO
11090,0,PUBLICO
11834,0,PUBLICO
11916,0,PUBLICO
11930,0,PUBLICO
12104,0,PUBLICO
12168,0,PUBLICO
12453,0,PUBLICO
12474,0,PUBLICO
12637,0,PUBLICO
12657,0,PUBLICO
12925,0,PUBLICO
13069,0,PUBLICO
13137,0,PUBLICO
13141,0,PUBLICO
13143,0,PUBLICO
13267,0,PUBLICO
14389,0,PUBLICO
15071,0,PUBLICO
15490,0,PUBLICO
15498,0,PUBLICO
16045,0,PUBLICO
16503,0,PUBLICO
17038,0,PUBLICO
17042,0,PUBLICO
17639,0,PUBLICO
17758,0,PUBLICO
18029,0,PUBLICO
18376,0,PUBLICO
18835,0,PUBLICO
19004,0,PUBLICO
19005,0,PUBLICO
19418,0,PUBLICO
19481,0,PUBLICO
19523,0,PUBLICO
19546,0,PUBLICO
19554,0,PUBLICO
19570,0,PUBLICO
19621,0,PUBLICO
20044,0,PUBLICO
20084,0,PUBLICO
20322,0,PUBLICO
20334,0,PUBLICO
20476,0,PUBLICO
20944,0,PUBLICO
21172,0,PUBLICO
21197,0,PUBLICO
21340,0,PUBLICO
21376,0,PUBLICO
21381,0,PUBLICO
21410,0,PUBLICO
21489,0,PUBLICO
21498,0,PUBLICO
21534,0,PUBLICO
21731,0,PUBLICO
21861,0,PUBLICO
22211,0,PUBLICO
1,1,APORTE DE VEHICULO SEGUN DETALLE FORMULARIO 103
1,15,APORTE DE VEHICULO SEGUN DETALLE FORMULARIO 103
2,1,APORTE DE VEHICULO SEGUN DETALLE FORMULARIO 103
2,15,APORTE DE VEHICULO SEGUN DETALLE FORMULARIO 103
3,1,APORTE DE VEHICULO SEGUN DETALLE FORMULARIO 103
3,15,APORTE DE VEHICULO SEGUN DETALLE FORMULARIO 103
4,1,APOYO VOLUNTARIO AL DESARROLLO DE CONTENIDO
4,15,APOYO VOLUNTARIO AL DESARROLLO DE CONTENIDO
5,1,APOYO VOLUNTARIO EN APOYO A TERRITORIAL Y DESARROLLO DE ACTI
5,15,APOYO VOLUNTARIO EN APOYO A TERRITORIAL Y DESARROLLO DE ACTI
6,1,VOLUNTARIO COMO COORDINADOR GENERAL DE CONTENIDO
6,15,VOLUNTARIO COMO COORDINADOR GENERAL DE CONTENIDO
7,1,VOLUNTARIO COMO REDACCION Y DESARROLLO DE CONTENIDO
7,15,VOLUNTARIO COMO REDACCION Y DESARROLLO DE CONTENIDO
8,1,COORDINADOR DE AVANZADA
8,15,COORDINADOR DE AVANZADA
9,1,COORDINADOR DE AVANZADA
9,15,COORDINADOR DE AVANZADA
10,1,APOYO ACTIVIDAD EN TERRENO
10,15,APOYO ACTIVIDAD EN TERRENO
11,1,APOYO ACTIVIDAD EN TERRENO
11,15,APOYO ACTIVIDAD EN TERRENO
12,1,COORDINACION POLITICA
12,15,COORDINACION POLITICA
13,1,5485000 VOLANTES 161 21 CM
13,15,5485000 VOLANTES 161 21 CM
14,1,1085000 VOLANTES 161 21 CM
14,15,1085000 VOLANTES 161 21 CM
2668,2,INTERES DEVENGADOS CREDITO DEL 6 DE SEP 2017
907,0,PUBLICO
909,0,PUBLICO
911,0,PUBLICO
912,0,PUBLICO
940,0,PUBLICO
950,0,PUBLICO
957,0,PUBLICO
958,0,PUBLICO
962,0,PUBLICO
963,0,PUBLICO
965,0,PUBLICO
972,0,PUBLICO
