ID,TERRITORIO
0,CIRCUNSCRIPCION SENATORIAL 2
1,CIRCUNSCRIPCION SENATORIAL 4
2,CIRCUNSCRIPCION SENATORIAL 9
3,CIRCUNSCRIPCION SENATORIAL 12
4,CIRCUNSCRIPCION SENATORIAL 13
5,CIRCUNSCRIPCION SENATORIAL 17
6,CIRCUNSCRIPCION SENATORIAL 19
7,CIRCUNSCRIPCION SENATORIAL 7
8,CIRCUNSCRIPCION SENATORIAL 8
9,CIRCUNSCRIPCION SENATORIAL 16
10,DISTRITO ELECTORAL 2
11,DISTRITO ELECTORAL 3
12,DISTRITO ELECTORAL 4
13,DISTRITO ELECTORAL 5
14,DISTRITO ELECTORAL 6
15,DISTRITO ELECTORAL 7
16,DISTRITO ELECTORAL 8
17,DISTRITO ELECTORAL 9
18,DISTRITO ELECTORAL 10
19,DISTRITO ELECTORAL 11
20,DISTRITO ELECTORAL 12
21,DISTRITO ELECTORAL 13
22,DISTRITO ELECTORAL 14
23,DISTRITO ELECTORAL 15
24,DISTRITO ELECTORAL 32
25,DISTRITO ELECTORAL 33
26,DISTRITO ELECTORAL 34
27,DISTRITO ELECTORAL 35
28,DISTRITO ELECTORAL 36
29,DISTRITO ELECTORAL 37
30,DISTRITO ELECTORAL 38
31,DISTRITO ELECTORAL 39
32,DISTRITO ELECTORAL 40
33,DISTRITO ELECTORAL 41
34,DISTRITO ELECTORAL 42
35,DISTRITO ELECTORAL 43
36,DISTRITO ELECTORAL 44
37,DISTRITO ELECTORAL 45
38,DISTRITO ELECTORAL 46
39,DISTRITO ELECTORAL 47
40,DISTRITO ELECTORAL 48
41,DISTRITO ELECTORAL 49
42,DISTRITO ELECTORAL 50
43,DISTRITO ELECTORAL 51
44,DISTRITO ELECTORAL 52
45,DISTRITO ELECTORAL 55
46,DISTRITO ELECTORAL 56
47,DISTRITO ELECTORAL 57
48,DISTRITO ELECTORAL 58
49,DISTRITO ELECTORAL 59
50,DISTRITO ELECTORAL 60
51,DISTRITO ELECTORAL 16
52,DISTRITO ELECTORAL 17
53,DISTRITO ELECTORAL 18
54,DISTRITO ELECTORAL 19
55,DISTRITO ELECTORAL 20
56,DISTRITO ELECTORAL 21
57,DISTRITO ELECTORAL 22
58,DISTRITO ELECTORAL 23
59,DISTRITO ELECTORAL 24
60,DISTRITO ELECTORAL 25
61,DISTRITO ELECTORAL 26
62,DISTRITO ELECTORAL 27
63,DISTRITO ELECTORAL 28
64,DISTRITO ELECTORAL 29
65,DISTRITO ELECTORAL 30
66,DISTRITO ELECTORAL 31
67,DISTRITO ELECTORAL 53
68,DISTRITO ELECTORAL 54
69,DISTRITO ELECTORAL 1
70,IQUIQUE
71,TAMARUGAL
72,ANTOFAGASTA
73,EL LOA
74,TOCOPILLA
75,CHANARAL
76,COPIAPO
77,HUASCO
78,CHOAPA
79,ELQUI
80,LIMARI
81,ISLA DE PASCUA
82,LOS ANDES
83,MARGA
84,PETORCA
85,QUILLOTA
86,SAN ANTONIO
87,SAN FELIPE
88,VALPARAISO 1
89,VALPARAISO 2
90,CACHAPOAL 1
91,CACHAPOAL 2
92,CARDENAL CARO
93,COLCHAGUA
94,CAUQUENES
95,CURICO
96,LINARES
97,TALCA
98,ARAUCO
99,BIOBIO
100,CONCEPCION 1
101,CONCEPCION 2
102,CONCEPCION 3
103,NUBLE
104,CAUTIN 1
105,CAUTIN 2
106,MALLECO
107,CHILOE
108,LLANQUIHUE
109,OSORNO
110,PALENA
111,AISEN
112,CAPITAN PRAT
113,COYHAIQUE
114,GENERAL CARRERA
115,ANTARTICA CHILENA
116,MAGALLANES
117,TIERRA DEL FUEGO
118,ULTIMA ESPERANZA
119,CHACABUCO
120,CORDILLERA
121,MAIPO
122,MELIPILLA
123,SANTIAGO 1
124,SANTIAGO 2
125,SANTIAGO 3
126,SANTIAGO 4
127,SANTIAGO 5
128,SANTIAGO 6
129,TALAGANTE
130,RANCO
131,VALDIVIA
132,ARICA
133,PARINACOTA
134,2ª CIRCUNSCRIPCION
135,4ª CIRCUNSCRIPCION
136,6ª CIRCUNSCRIPCION
137,9ª CIRCUNSCRIPCION
138,11ª CIRCUNSCRIPCION
139,14ª CIRCUNSCRIPCION
140,1ª CIRCUNSCRIPCION
141,DISTRITO Nº 2
142,DISTRITO Nº 3
143,DISTRITO Nº 4
144,DISTRITO Nº 5
145,DISTRITO Nº 6
146,DISTRITO Nº 7
147,DISTRITO Nº 15
148,DISTRITO Nº 16
149,DISTRITO Nº 17
150,DISTRITO Nº 18
151,DISTRITO Nº 19
152,DISTRITO Nº 20
153,DISTRITO Nº 21
154,DISTRITO Nº 22
155,DISTRITO Nº 23
156,DISTRITO Nº 25
157,DISTRITO Nº 26
158,DISTRITO Nº 27
159,DISTRITO Nº 28
160,DISTRITO Nº 10
161,DISTRITO Nº 11
162,DISTRITO Nº 12
163,DISTRITO Nº 13
164,DISTRITO Nº 14
165,DISTRITO Nº 8
166,DISTRITO Nº 9
167,DISTRITO Nº 24
168,DISTRITO Nº 1
169,MARGA MARGA
170,BIO BIO
171,ALTO HOSPICIO
172,CAMINA
173,COLCHANE
174,HUARA
175,PICA
176,POZO ALMONTE
177,CALAMA
178,MARIA ELENA
179,MEJILLONES
180,OLLAGÜE
181,SAN PEDRO DE ATACAMA
182,SIERRA GORDA
183,TALTAL
184,ALTO DEL CARMEN
185,CALDERA
186,DIEGO DE ALMAGRO
187,FREIRINA
188,TIERRA AMARILLA
189,VALLENAR
190,ANDACOLLO
191,CANELA
192,COMBARBALA
193,COQUIMBO
194,ILLAPEL
195,LA HIGUERA
196,LA SERENA
197,LOS VILOS
198,MONTE PATRIA
199,OVALLE
200,PAIHUANO
201,PUNITAQUI
202,RIO HURTADO
203,SALAMANCA
204,VICUNA
205,ALGARROBO
206,CABILDO
207,CALERA
208,CALLE LARGA
209,CARTAGENA
210,CASABLANCA
211,CATEMU
212,CONCON
213,EL QUISCO
214,EL TABO
215,HIJUELAS
216,JUAN FERNANDEZ
217,LA CRUZ
218,LA LIGUA
219,LIMACHE
220,LLAILLAY
221,NOGALES
222,OLMUE
223,PANQUEHUE
224,PAPUDO
225,PUCHUNCAVI
226,PUTAENDO
227,QUILPUE
228,QUINTERO
229,RINCONADA
230,SAN ESTEBAN
231,SANTA MARIA
232,SANTO DOMINGO
233,VALPARAISO
234,VILLA ALEMANA
235,VINA DEL MAR
236,ZAPALLAR
237,CHEPICA
238,CHIMBARONGO
239,CODEGUA
240,COINCO
241,COLTAUCO
242,DONIHUE
243,GRANEROS
244,LA ESTRELLA
245,LAS CABRAS
246,LITUECHE
247,LOLOL
248,MACHALI
249,MALLOA
250,MARCHIHUE
251,MOSTAZAL
252,NANCAGUA
253,NAVIDAD
254,OLIVAR
255,PALMILLA
256,PAREDONES
257,PERALILLO
258,PEUMO
259,PICHIDEGUA
260,PICHILEMU
261,PLACILLA
262,PUMANQUE
263,QUINTA DE TILCOCO
264,RANCAGUA
265,RENGO
266,REQUINOA
267,SAN FERNANDO
268,SAN VICENTE
269,SANTA CRUZ
270,CHANCO
271,COLBUN
272,CONSTITUCION
273,CUREPTO
274,EMPEDRADO
275,HUALANE
276,LICANTEN
277,LONGAVI
278,MAULE
279,MOLINA
280,PARRAL
281,PELARCO
282,PELLUHUE
283,PENCAHUE
284,RAUCO
285,RETIRO
286,RIO CLARO
287,ROMERAL
288,SAGRADA FAMILIA
289,SAN CLEMENTE
290,SAN JAVIER
291,SAN RAFAEL
292,TENO
293,VICHUQUEN
294,VILLA ALEGRE
295,YERBAS BUENAS
296,ALTO BIOBIO
297,ANTUCO
298,CABRERO
299,CANETE
300,CHIGUAYANTE
301,CONCEPCION
302,CONTULMO
303,CORONEL
304,CURANILAHUE
305,FLORIDA
306,HUALPEN
307,HUALQUI
308,LAJA
309,LEBU
310,LOS ALAMOS
311,LOS ANGELES
312,LOTA
313,MULCHEN
314,NACIMIENTO
315,NEGRETE
316,PENCO
317,QUILACO
318,QUILLECO
319,SAN PEDRO DE LA PAZ
320,SAN ROSENDO
321,SANTA BARBARA
322,SANTA JUANA
323,TALCAHUANO
324,TIRUA
325,TOME
326,TUCAPEL
327,YUMBEL
328,ANGOL
329,CARAHUE
330,CHOLCHOL
331,COLLIPULLI
332,CUNCO
333,CURACAUTIN
334,CURARREHUE
335,ERCILLA
336,FREIRE
337,GALVARINO
338,GORBEA
339,LAUTARO
340,LONCOCHE
341,LONQUIMAY
342,LOS SAUCES
343,LUMACO
344,MELIPEUCO
345,NUEVA IMPERIAL
346,PADRE LAS CASAS
347,PERQUENCO
348,PITRUFQUEN
349,PUCON
350,PUREN
351,RENAICO
352,SAAVEDRA
353,TEMUCO
354,TEODORO SCHMIDT
355,TOLTEN
356,TRAIGUEN
357,VICTORIA
358,VILCUN
359,VILLARRICA
360,ANCUD
361,CALBUCO
362,CASTRO
363,CHAITEN
364,CHONCHI
365,COCHAMO
366,CURACO DE VELEZ
367,DALCAHUE
368,FRESIA
369,FRUTILLAR
370,FUTALEUFU
371,HUALAIHUE
372,LOS MUERMOS
373,MAULLIN
374,PUERTO MONTT
375,PUERTO OCTAY
376,PUERTO VARAS
377,PUQUELDON
378,PURRANQUE
379,PUYEHUE
380,QUEILEN
381,QUELLON
382,QUEMCHI
383,QUINCHAO
384,RIO NEGRO
385,SAN JUAN DE LA COSTA
386,SAN PABLO
387,AYSEN
388,CHILE CHICO
389,CISNES
390,COCHRANE
391,GUAITECAS
392,LAGO VERDE
393,O'HIGGINS
394,RIO IBANEZ
395,TORTEL
396,CABO DE HORNOS (EX - NAVARINO)
397,LAGUNA BLANCA
398,NATALES
399,PORVENIR
400,PRIMAVERA
401,PUNTA ARENAS
402,RIO VERDE
403,SAN GREGORIO
404,TIMAUKEL
405,TORRES DEL PAINE
406,ALHUE
407,BUIN
408,CALERA DE TANGO
409,CERRILLOS
410,CERRO NAVIA
411,COLINA
412,CONCHALI
